Símbolo,Número Atômico,Nome,Dica,Grupo
Se,34,Selênio,Elemento com 6 elétrons na camanda de valência do quarto período. ,3
Br,35,Bromo,Elemento com 7 elétrons na camanda de valência do quarto período. ,3
Kr,36,Criptônio,Elemento Químico: Criptônio,2
Rb,37,Rubídio,Elemento Químico: Rubídio,2
Sr,38,Estrôncio,Elemento Químico: Estrôncio,2
Y,39,Ítrio,Elemento Químico: Ítrio,2
Zr,40,Zircônio,Elemento Químico: Zircônio,2
Nb,41,Nióbio,Elemento Químico: Nióbio. ,2
Mo,42,Molibdênio,Elemento Químico de Número Atômico: 42,1
Tc,43,Tecnécio,Elemento Químico de Número Atômico: 43,1
Ru,44,Rutênio,Elemento Químico de Número Atômico: 44,1
Rh,45,Ródio,Elemento Químico: Ródio,2
Pd,46,Paládio,Elemento Químico: Paládio,2
Ag,47,Prata,Elemento Químico: Prata,2
Cd,48,Cádmio,Elemento Químico: Cádmio,2
In,49,Índio,Elemento Químico de Número Atômico: 49,1
Sn,50,Estanho,Elemento Químico: Estanho,2
Sb,51,Antimônio,Elemento Químico: Antimônio,2
Te,52,Telúrio,Elemento Químico do grupo 17 e do 5º período,3
I,53,Iodo,Elemento Químico do grupo 16 e do 5º período,3
Xe,54,Xenônio,Gás Nobre do 5º período,3
Cs,55,Césio,Elemento Químico: Césio,2
Ba,56,Bário,Metal Alcalino Terroso do 6º período,3
La,57,Lantânio,Elemento Químico de Número Atômico: 57,1
Ce,58,Cério,Elemento Químico de Número Atômico: 58,1
Pr,59,Praseodímio,Elemento Químico de Número Atômico: 59,1
Nd,60,Neodímio,Elemento Químico de Número Atômico: 60,1
Pm,61,Promécio,Elemento Químico de Número Atômico: 61,1
Sm,62,Samário,Elemento Químico de Número Atômico: 62,1
Eu,63,Európio,Elemento Químico de Número Atômico: 63,1
Gd,64,Gadolínio,Elemento Químico de Número Atômico: 64,1
Tb,65,Térbio,Elemento Químico de Número Atômico: 65,1
Dy,66,Disprósio,Elemento Químico de Número Atômico: 66,1
Ho,67,Hólmio,Elemento Químico de Número Atômico: 67,1
Er,68,Érbio,Elemento Químico de Número Atômico: 68,1
Tm,69,Túlio,Elemento Químico de Número Atômico: 69,1
Yb,70,Itérbio,Elemento Químico de Número Atômico: 70,1
Lu,71,Lutécio,Elemento Químico de Número Atômico: 71,1
Hf,72,Háfnio,Elemento Químico de Número Atômico: 72,1
Ta,73,Tântalo,Elemento Químico de Número Atômico: 73,1
W,74,Tungstênio,Elemento Químico: Tungstênio,2
Re,75,Rênio,Elemento Químico de Número Atômico: 75,1
Os,76,Ósmio,Elemento Químico de Número Atômico: 76,1
Ir,77,Irídio,Elemento Químico de Número Atômico: 77,1
Pt,78,Platina,Elemento Químico de Número Atômico: 78,1
Au,79,Ouro,Elemento Químico: Ouro,2
Hg,80,Mercúrio,Elemento Químico: Mercúrio,2
Tl,81,Tálio,Elemento Químico de Número Atômico: 81,1
Pb,82,Chumbo,Elemento Químico: Chumbo,2
Bi,83,Bismuto,Elemento Químico de Número Atômico: 83,1
Po,84,Polônio,Elemento Químico de Número Atômico: 84,1
At,85,Astato,Elemento Químico de Número Atômico: 85,1
Rn,86,Radônio,Elemento com oito elétrons na camada de valência e com seis camadas de elétrons. ,3
Fr,87,Frâncio,Elemento Químico de Maior Raio Atômico da Tabela Períodica. ,3
Ra,88,Rádio,Elemento Químico de Maior Raio Atômico do metais do grupo 2. ,3
Ac,89,Actínio,Elemento Químico de Número Atômico: 89,1
Th,90,Tório,Elemento Químico de Número Atômico: 90,1
Pa,91,Protactínio,Elemento Químico de Número Atômico: 91,1
U,92,Urânio,Elemento Radioativo mais popularmente conhecido. ,3
Np,93,Netúnio,Elemento Químico de Número Atômico: 93,1
Pu,94,Plutônio,Elemento Químico de Número Atômico: 94,1
Am,95,Amerício,Elemento Químico de Número Atômico: 95,1
Cm,96,Cúrio,Elemento Químico de Número Atômico: 96,1
Bk,97,Berquélio,Elemento Químico de Número Atômico: 97,1
Cf,98,Califórnio,Elemento Químico de Número Atômico: 98,1
Es,99,Einstênio,Elemento Químico de Número Atômico: 99,1
Fm,100,Férmio,Elemento Químico de Número Atômico: 100,1
Md,101,Mendelévio,Elemento Químico de Número Atômico: 101,1
No,102,Nobélio,Elemento Químico de Número Atômico: 102,1
Lr,103,Laurêncio,Elemento Químico de Número Atômico: 103,1
Rf,104,Rutherfórdio,Elemento Químico de Número Atômico: 104,1
Db,105,Dúbnio,Elemento Químico de Número Atômico: 105,1
Sg,106,Seabórgio,Elemento Químico de Número Atômico: 106,1
Bh,107,Bóhrio,Elemento Químico de Número Atômico: 107,1
Hs,108,Hássio,Elemento Químico de Número Atômico: 108,1
Mt,109,Meitnério,Elemento Químico de Número Atômico: 109,1
Ds,110,Darmstádio,Elemento Químico de Número Atômico: 110,1
Rg,111,Roentgênio,Elemento Químico de Número Atômico: 111,1
Cn,112,Copernício,Elemento Químico de Número Atômico: 112,1
Nh,113,Nihônio,Elemento Químico de Número Atômico: 113,1
Fl,114,Fleróvio,Elemento Químico de Número Atômico: 114,1
Mc,115,Moscóvio,Elemento Químico de Número Atômico: 115,1
Lv,116,Livermório,Elemento Químico de Número Atômico: 116,1
Ts,117,Tenessino,Elemento Químico de Número Atômico: 117,1
Og,118,Oganessônio,Elemento Químico de Número Atômico: 118,1
